SEASON,PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,TOV,POSS_ACTUAL,PTS,FG2M,FG2A,PTS_FROM_2,PTS_FROM_3,EV100_FROM_2,EV100_FROM_3
1996-97,2,Byron Scott,79,1400.0,163.0,379.0,73.0,188.0,127.0,151.0,21.0,53.0,2840,526.0,90.0,191.0,180.0,219.0,6.338028169014084,7.711267605633802
1996-97,3,Grant Long,65,1141.0,123.0,275.0,17.0,47.0,63.0,84.0,88.0,48.0,2072,326.0,106.0,228.0,212.0,51.0,10.231660231660232,2.4613899613899615
1996-97,7,Dan Schayes,45,518.0,47.0,120.0,0.0,1.0,39.0,52.0,41.0,27.0,1013,133.0,47.0,119.0,94.0,0.0,9.279368213228036,0.0
1996-97,9,Sedale Threatt,21,326.0,28.0,74.0,8.0,20.0,6.0,8.0,5.0,13.0,659,70.0,20.0,54.0,40.0,24.0,6.0698027314112295,3.6418816388467374
1996-97,15,Eric Piatkowski,65,720.0,134.0,298.0,51.0,120.0,69.0,84.0,49.0,46.0,1500,388.0,83.0,178.0,166.0,153.0,11.066666666666666,10.2
1996-97,17,Clyde Drexler,62,2243.0,397.0,899.0,119.0,335.0,201.0,268.0,118.0,156.0,4452,1114.0,278.0,564.0,556.0,357.0,12.488769092542677,8.018867924528301
1996-97,21,Greg Anthony,65,1827.0,199.0,507.0,88.0,238.0,130.0,178.0,25.0,129.0,3531,616.0,111.0,269.0,222.0,264.0,6.287170773152082,7.476635514018691
1996-97,22,Rik Smits,52,1498.0,356.0,733.0,2.0,8.0,173.0,217.0,105.0,126.0,2871,887.0,354.0,725.0,708.0,6.0,24.660397074190175,0.20898641588296762
1996-97,23,Dennis Rodman,55,1924.0,128.0,286.0,5.0,19.0,50.0,88.0,320.0,111.0,3645,311.0,123.0,267.0,246.0,15.0,6.748971193415638,0.411522633744856
1996-97,26,Luc Longley,59,1445.0,221.0,485.0,0.0,2.0,95.0,120.0,121.0,111.0,2794,537.0,221.0,483.0,442.0,0.0,15.819613457408732,0.0
1996-97,28,Doug West,68,1895.0,226.0,484.0,15.0,45.0,64.0,94.0,37.0,66.0,3679,531.0,211.0,439.0,422.0,45.0,11.470508290296276,1.2231584669747215
1996-97,29,Jim McIlvaine,82,1443.0,130.0,275.0,1.0,7.0,53.0,107.0,132.0,62.0,2880,314.0,129.0,268.0,258.0,3.0,8.958333333333334,0.10416666666666667
1996-97,31,Lorenzo Williams,19,256.0,20.0,31.0,0.0,0.0,5.0,7.0,28.0,18.0,538,45.0,20.0,31.0,40.0,0.0,7.434944237918216,0.0
1996-97,32,Clifford Rozier,42,710.0,79.0,174.0,0.0,2.0,31.0,61.0,102.0,29.0,1406,189.0,79.0,172.0,158.0,0.0,11.2375533428165,0.0
1996-97,36,Sarunas Marciulionis,17,260.6333333333333,35.0,92.0,10.0,27.0,29.0,36.0,10.0,38.0,533,109.0,25.0,65.0,50.0,30.0,9.380863039399625,5.628517823639775
1996-97,37,Greg Graham,28,179.0,29.0,80.0,9.0,31.0,26.0,40.0,2.0,10.0,401,93.0,20.0,49.0,40.0,27.0,9.975062344139651,6.733167082294264
1996-97,38,Brad Lohaus,6,41.0,4.0,15.0,2.0,7.0,0.0,0.0,1.0,1.0,91,10.0,2.0,8.0,4.0,6.0,4.395604395604396,6.593406593406594
1996-97,42,Monty Williams,65,1313.0,234.0,460.0,0.0,1.0,120.0,186.0,98.0,116.0,2530,588.0,234.0,459.0,468.0,0.0,18.49802371541502,0.0
1996-97,43,Chris Whitney,82,1076.0,139.0,330.0,58.0,163.0,94.0,113.0,13.0,68.0,2211,430.0,81.0,167.0,162.0,174.0,7.327001356852103,7.869742198100408
1996-97,45,George McCloud,64,1466.0,238.0,578.0,99.0,254.0,83.0,101.0,36.0,60.0,2931,658.0,139.0,324.0,278.0,297.0,9.484817468440806,10.133060388945752
1996-97,47,Wayman Tisdale,53,753.0,158.0,371.0,0.0,0.0,30.0,48.0,35.0,36.0,1523,346.0,158.0,371.0,316.0,0.0,20.748522652659226,0.0
1996-97,49,Gheorghe Muresan,73,1805.0,327.0,541.0,0.0,0.0,123.0,199.0,141.0,117.0,3568,777.0,327.0,541.0,654.0,0.0,18.329596412556054,0.0
1996-97,51,Mahmoud Abdul-Rauf,75,2100.0,411.0,924.0,94.0,246.0,115.0,136.0,16.0,119.0,4133,1031.0,317.0,678.0,634.0,282.0,15.339946769900797,6.823130897653036
1996-97,53,Mario Elie,78,2654.0,291.0,585.0,120.0,286.0,207.0,231.0,60.0,135.0,5216,909.0,171.0,299.0,342.0,360.0,6.556748466257669,6.901840490797547
1996-97,54,Dickey Simpkins,48,372.0,31.0,93.0,1.0,4.0,28.0,40.0,36.0,35.0,784,91.0,30.0,89.0,60.0,3.0,7.653061224489796,0.3826530612244898
1996-97,55,Marty Conlon,74,1574.0,214.0,454.0,2.0,10.0,144.0,171.0,128.0,109.0,3300,574.0,212.0,444.0,424.0,6.0,12.848484848484848,0.18181818181818182
1996-97,56,Gary Payton,82,3175.0,706.0,1482.0,119.0,380.0,254.0,355.0,106.0,215.0,6176,1785.0,587.0,1102.0,1174.0,357.0,19.009067357512954,5.780440414507772
1996-97,57,Doug Christie,81,3086.0,396.0,949.0,147.0,383.0,237.0,306.0,85.0,200.0,6009,1176.0,249.0,566.0,498.0,441.0,8.287568647029456,7.338991512730904
1996-97,61,Carl Herrera,75,1790.0,257.0,593.0,2.0,6.0,81.0,118.0,118.0,95.0,3380,597.0,255.0,587.0,510.0,6.0,15.088757396449704,0.17751479289940827
1996-97,63,Michael Smith,81,2479.0,202.0,375.0,0.0,0.0,128.0,258.0,257.0,130.0,4860,532.0,202.0,375.0,404.0,0.0,8.31275720164609,0.0
1996-97,64,Sam Perkins,81,1932.0,290.0,661.0,122.0,309.0,187.0,229.0,74.0,77.0,3805,889.0,168.0,352.0,336.0,366.0,8.830486202365309,9.61892247043364
1996-97,65,Greg Minor,23,536.0,94.0,196.0,1.0,8.0,31.0,36.0,30.0,22.0,1113,220.0,93.0,188.0,186.0,3.0,16.711590296495956,0.2695417789757413
1996-97,67,Tom Hammonds,81,1716.0,191.0,398.0,0.0,2.0,124.0,172.0,135.0,88.0,3523,506.0,191.0,396.0,382.0,0.0,10.843031507238148,0.0
1996-97,70,Steve Kerr,82,1819.0,249.0,467.0,110.0,237.0,54.0,67.0,29.0,43.0,3630,662.0,139.0,230.0,278.0,330.0,7.65840220385675,9.090909090909092
1996-97,71,Pooh Richardson,59,1037.0,131.0,344.0,42.0,128.0,26.0,43.0,25.0,62.0,2061,330.0,89.0,216.0,178.0,126.0,8.63658418243571,6.11353711790393
1996-97,72,Kenny Anderson,82,3041.0,485.0,1137.0,132.0,366.0,334.0,435.0,91.0,193.0,5965,1436.0,353.0,771.0,706.0,396.0,11.835708298407377,6.63872590108969
1996-97,73,Hot Rod Williams,68,2106.0,204.0,416.0,0.0,2.0,133.0,198.0,178.0,66.0,4184,541.0,204.0,414.0,408.0,0.0,9.751434034416825,0.0
1996-97,76,Cedric Ceballos,50,1403.0,282.0,617.0,26.0,102.0,139.0,186.0,102.0,85.0,2811,729.0,256.0,515.0,512.0,78.0,18.214158662397722,2.774813233724653
1996-97,77,Doug Overton,61,613.0,81.0,190.0,10.0,40.0,45.0,48.0,18.0,39.0,1292,217.0,71.0,150.0,142.0,30.0,10.990712074303406,2.321981424148607
1996-97,78,LaSalle Thompson,26,125.0,3.0,19.0,0.0,0.0,4.0,6.0,7.0,9.0,287,10.0,3.0,19.0,6.0,0.0,2.0905923344947737,0.0
1996-97,80,Ken Norman,17,213.0,27.0,94.0,6.0,38.0,4.0,12.0,8.0,18.0,433,64.0,21.0,56.0,42.0,18.0,9.699769053117784,4.157043879907621
1996-97,81,Jeff Grayer,25,305.0,38.0,83.0,4.0,11.0,11.0,20.0,21.0,15.0,609,91.0,34.0,72.0,68.0,12.0,11.16584564860427,1.9704433497536946
1996-97,82,Bill Wennington,61,753.0,118.0,237.0,0.0,2.0,44.0,53.0,46.0,31.0,1506,280.0,118.0,235.0,236.0,0.0,15.670650730411687,0.0
1996-97,84,Latrell Sprewell,80,3309.0,649.0,1444.0,147.0,415.0,493.0,585.0,58.0,322.0,6554,1938.0,502.0,1029.0,1004.0,441.0,15.318889227952395,6.728715288373513
1996-97,85,Brent Price,25,381.0,44.0,105.0,17.0,53.0,21.0,21.0,10.0,32.0,776,126.0,27.0,52.0,54.0,51.0,6.958762886597938,6.572164948453609
1996-97,87,Dikembe Mutombo,80,2939.0,380.0,722.0,0.0,0.0,306.0,434.0,268.0,186.0,5376,1066.0,380.0,722.0,760.0,0.0,14.136904761904761,0.0
1996-97,88,Steve Scheffler,7,25.0,6.0,7.0,0.0,0.0,1.0,2.0,1.0,5.0,59,13.0,6.0,7.0,12.0,0.0,20.33898305084746,0.0
1996-97,89,Nick Van Exel,79,2913.0,432.0,1075.0,177.0,468.0,165.0,200.0,44.0,212.0,5691,1206.0,255.0,607.0,510.0,531.0,8.961518186610437,9.330521876647339
1996-97,93,Hubert Davis,36,604.0,74.0,184.0,16.0,70.0,17.0,23.0,11.0,21.0,1227,181.0,58.0,114.0,116.0,48.0,9.453952730236349,3.9119804400977993
1996-97,95,Mark Bryant,41,994.0,152.0,275.0,0.0,0.0,76.0,108.0,67.0,46.0,1943,380.0,152.0,275.0,304.0,0.0,15.645908389089039,0.0
1996-97,96,Detlef Schrempf,61,2177.0,356.0,724.0,57.0,161.0,253.0,316.0,87.0,150.0,4210,1022.0,299.0,563.0,598.0,171.0,14.204275534441804,4.061757719714965
1996-97,98,Nick Anderson,63,2132.0,288.0,725.0,143.0,405.0,38.0,94.0,66.0,86.0,4106,757.0,145.0,320.0,290.0,429.0,7.062834875791525,10.448124695567461
1996-97,100,Tim Legler,15,175.0,15.0,48.0,8.0,29.0,6.0,7.0,0.0,9.0,365,44.0,7.0,19.0,14.0,24.0,3.8356164383561646,6.575342465753424
1996-97,103,Todd Day,81,2242.0,397.0,998.0,126.0,348.0,256.0,331.0,109.0,127.0,4707,1176.0,271.0,650.0,542.0,378.0,11.514765243254727,8.030592734225621
1996-97,104,Benoit Benjamin,4,41.0,5.0,12.0,0.0,0.0,3.0,4.0,3.0,2.0,92,13.0,5.0,12.0,10.0,0.0,10.869565217391305,0.0
1996-97,105,Dan Majerle,36,1247.0,141.0,347.0,68.0,201.0,40.0,59.0,45.0,50.0,2351,390.0,73.0,146.0,146.0,204.0,6.210123351765207,8.677158655891109
1996-97,107,Dale Ellis,82,2903.0,477.0,1151.0,192.0,528.0,215.0,263.0,99.0,146.0,5797,1361.0,285.0,623.0,570.0,576.0,9.832672071761255,9.936173883042954
1996-97,109,Robert Horry,54,1369.0,157.0,360.0,49.0,154.0,60.0,90.0,68.0,72.0,2765,423.0,108.0,206.0,216.0,147.0,7.811934900542496,5.3164556962025316
1996-97,111,LaPhonso Ellis,55,1979.0,445.0,1014.0,95.0,259.0,218.0,282.0,107.0,117.0,3890,1203.0,350.0,755.0,700.0,285.0,17.994858611825194,7.326478149100257
1996-97,112,Dontonio Wingfield,47,540.0,79.0,193.0,26.0,77.0,27.0,40.0,63.0,49.0,1105,211.0,53.0,116.0,106.0,78.0,9.592760180995477,7.0588235294117645
1996-97,116,David Wood,46,214.0,20.0,38.0,5.0,15.0,12.0,18.0,5.0,6.0,505,57.0,15.0,23.0,30.0,15.0,5.9405940594059405,2.9702970297029703
1996-97,120,Steven Smith,72,2786.0,491.0,1145.0,130.0,388.0,333.0,393.0,90.0,176.0,5169,1445.0,361.0,757.0,722.0,390.0,13.96788547107758,7.544979686593152
1996-97,121,Patrick Ewing,78,2846.0,655.0,1342.0,2.0,9.0,439.0,582.0,175.0,269.0,5586,1751.0,653.0,1333.0,1306.0,6.0,23.379878267096313,0.10741138560687433
1996-97,122,Fred Roberts,12,33.0,6.0,15.0,0.0,0.0,10.0,14.0,2.0,5.0,94,22.0,6.0,15.0,12.0,0.0,12.76595744680851,0.0
1996-97,123,Robert Pack,54,1758.0,272.0,693.0,31.0,112.0,196.0,243.0,28.0,217.0,3583,771.0,241.0,581.0,482.0,93.0,13.452414178063076,2.595590287468602
1996-97,124,Vlade Divac,81,2798.0,418.0,847.0,11.0,47.0,177.0,259.0,241.0,193.0,5290,1024.0,407.0,800.0,814.0,33.0,15.387523629489602,0.6238185255198487
1996-97,129,Dino Radja,25,861.0,149.0,339.0,0.0,1.0,51.0,71.0,44.0,70.0,1721,349.0,149.0,338.0,298.0,0.0,17.315514235909355,0.0
1996-97,133,David Wesley,74,2954.0,456.0,974.0,103.0,286.0,225.0,288.0,67.0,211.0,6040,1240.0,353.0,688.0,706.0,309.0,11.688741721854305,5.1158940397351
1996-97,134,Kevin Johnson,70,2623.0,441.0,890.0,89.0,202.0,439.0,515.0,54.0,217.0,5272,1410.0,352.0,688.0,704.0,267.0,13.353566009104703,5.064491654021245
1996-97,136,P.J. Brown,80,2554.0,300.0,656.0,0.0,2.0,161.0,220.0,239.0,113.0,4856,761.0,300.0,654.0,600.0,0.0,12.355848434925864,0.0
1996-97,137,Vernon Maxwell,72,2038.0,340.0,906.0,115.0,372.0,134.0,180.0,27.0,121.0,3901,929.0,225.0,534.0,450.0,345.0,11.535503716995642,8.843886183029992
1996-97,140,Donald Royal,62,833.0,62.0,146.0,0.0,2.0,94.0,117.0,52.0,47.0,1694,218.0,62.0,144.0,124.0,0.0,7.319952774498228,0.0
1996-97,143,Terry Dehere,73,1014.0,148.0,383.0,52.0,160.0,122.0,148.0,15.0,96.0,2029,470.0,96.0,223.0,192.0,156.0,9.462789551503203,7.6885165105963535
1996-97,145,Tracy Murray,82,1782.0,288.0,678.0,106.0,300.0,135.0,161.0,84.0,86.0,3612,817.0,182.0,378.0,364.0,318.0,10.077519379844961,8.803986710963455
1996-97,146,Jud Buechler,76,668.0,58.0,158.0,18.0,54.0,5.0,14.0,45.0,27.0,1425,139.0,40.0,104.0,80.0,54.0,5.614035087719298,3.7894736842105265
1996-97,147,Jalen Rose,66,1152.0,172.0,377.0,21.0,72.0,117.0,156.0,27.0,107.0,2326,482.0,151.0,305.0,302.0,63.0,12.983662940670678,2.708512467755804
1996-97,154,Adrian Caldwell,45,550.0,40.0,92.0,0.0,2.0,21.0,50.0,58.0,28.0,1172,101.0,40.0,90.0,80.0,0.0,6.825938566552901,0.0
1996-97,156,Antoine Carr,82,1424.0,252.0,522.0,0.0,3.0,99.0,127.0,60.0,75.0,2755,603.0,252.0,519.0,504.0,0.0,18.294010889292196,0.0
1996-97,157,Derek Harper,75,2160.0,299.0,674.0,60.0,176.0,95.0,128.0,30.0,132.0,4188,753.0,239.0,498.0,478.0,180.0,11.413562559694364,4.297994269340974
1996-97,164,Chris Childs,65,2045.0,211.0,510.0,70.0,181.0,113.0,149.0,22.0,180.0,3965,605.0,141.0,329.0,282.0,210.0,7.112232030264817,5.296343001261034
1996-97,165,Hakeem Olajuwon,78,2812.0,727.0,1426.0,5.0,16.0,351.0,446.0,173.0,281.0,5488,1810.0,722.0,1410.0,1444.0,15.0,26.311953352769677,0.27332361516034986
1996-97,166,Ron Harper,76,1699.0,177.0,406.0,68.0,188.0,58.0,82.0,46.0,50.0,3314,480.0,109.0,218.0,218.0,204.0,6.578153289076645,6.155703077851539
1996-97,168,Chris Mills,80,3130.0,405.0,894.0,86.0,220.0,176.0,209.0,118.0,120.0,5577,1072.0,319.0,674.0,638.0,258.0,11.439842209072978,4.626143087681549
1996-97,170,Joe Kleine,59,821.0,69.0,170.0,2.0,3.0,28.0,38.0,62.0,41.0,1703,168.0,67.0,167.0,134.0,6.0,7.868467410452143,0.35231943628890194
1996-97,173,Keith Askins,78,1730.0,138.0,319.0,69.0,172.0,39.0,58.0,86.0,59.0,3357,384.0,69.0,147.0,138.0,207.0,4.110813226094727,6.166219839142091
1996-97,175,Alton Lister,53,491.0,32.0,77.0,0.0,0.0,23.0,31.0,66.0,30.0,1032,87.0,32.0,77.0,64.0,0.0,6.2015503875969,0.0
1996-97,176,Antonio Harvey,6,24.0,5.0,11.0,0.0,0.0,5.0,6.0,2.0,1.0,59,15.0,5.0,11.0,10.0,0.0,16.94915254237288,0.0
1996-97,177,Muggsy Bogues,65,1839.0,204.0,443.0,60.0,144.0,54.0,64.0,25.0,108.0,3488,522.0,144.0,299.0,288.0,180.0,8.256880733944955,5.160550458715597
1996-97,178,Olden Polynice,82,2850.0,442.0,967.0,0.0,6.0,141.0,251.0,272.0,166.0,5565,1025.0,442.0,961.0,884.0,0.0,15.884995507637017,0.0
1996-97,179,Bryant Stith,52,1762.0,251.0,603.0,70.0,182.0,202.0,234.0,74.0,101.0,3505,774.0,181.0,421.0,362.0,210.0,10.328102710413695,5.991440798858773
1996-97,180,John Crotty,48,640.0,79.0,154.0,20.0,49.0,54.0,64.0,15.0,42.0,1270,232.0,59.0,105.0,118.0,60.0,9.291338582677165,4.724409448818897
1996-97,181,Kenny Smith,48,735.0,101.0,239.0,59.0,135.0,39.0,45.0,4.0,71.0,1527,300.0,42.0,104.0,84.0,177.0,5.50098231827112,11.591355599214145
1996-97,182,Billy Owens,66,1959.0,299.0,640.0,25.0,72.0,101.0,145.0,134.0,133.0,3843,724.0,274.0,568.0,548.0,75.0,14.25969294821754,1.9516003122560501
1996-97,183,Bison Dele,9,133.0,26.0,63.0,0.0,0.0,11.0,15.0,14.0,11.0,262,63.0,26.0,63.0,52.0,0.0,19.84732824427481,0.0
1996-97,184,Bobby Phills,69,2346.0,328.0,766.0,85.0,216.0,125.0,174.0,63.0,135.0,4179,866.0,243.0,550.0,486.0,255.0,11.629576453697057,6.101938262742283
1996-97,185,Chris Webber,72,2776.0,604.0,1167.0,60.0,151.0,177.0,313.0,238.0,230.0,5524,1445.0,544.0,1016.0,1088.0,180.0,19.695872556118754,3.258508327299059
1996-97,187,Terry Cummings,45,801.0,155.0,319.0,3.0,5.0,57.0,82.0,70.0,45.0,1512,370.0,152.0,314.0,304.0,9.0,20.105820105820104,0.5952380952380952
1996-97,190,Duane Causwell,46,569.0,48.0,94.0,2.0,3.0,20.0,37.0,57.0,34.0,1131,118.0,46.0,91.0,92.0,6.0,8.134394341290893,0.5305039787798408
1996-97,192,Dennis Scott,66,2134.0,298.0,749.0,147.0,373.0,80.0,101.0,40.0,81.0,4079,823.0,151.0,376.0,302.0,441.0,7.4037754351556755,10.811473400343221
1996-97,193,Anthony Mason,73,3108.0,433.0,825.0,1.0,3.0,319.0,428.0,186.0,165.0,5855,1186.0,432.0,822.0,864.0,3.0,14.75661827497865,0.05123825789923143
1996-97,195,Lee Mayberry,80,1924.0,149.0,370.0,83.0,221.0,29.0,46.0,29.0,91.0,3656,410.0,66.0,149.0,132.0,249.0,3.6105032822757113,6.810722100656455
1996-97,197,Scott Burrell,57,916.0,99.0,272.0,41.0,116.0,57.0,76.0,49.0,53.0,1849,296.0,58.0,156.0,116.0,123.0,6.273661438615467,6.652244456462952
1996-97,198,Danny Ferry,82,2591.0,341.0,794.0,114.0,284.0,74.0,87.0,82.0,94.0,4669,870.0,227.0,510.0,454.0,342.0,9.723709573784536,7.324908974084386
1996-97,199,Reggie Williams,13,193.0,29.0,76.0,9.0,34.0,9.0,12.0,5.0,12.0,416,76.0,20.0,42.0,40.0,27.0,9.615384615384617,6.490384615384616
1996-97,201,Chris Dudley,81,1801.0,126.0,293.0,0.0,0.0,65.0,137.0,204.0,80.0,3488,317.0,126.0,293.0,252.0,0.0,7.224770642201834,0.0
1996-97,202,Gary Grant,28,351.0,39.0,110.0,14.0,46.0,18.0,22.0,8.0,27.0,685,110.0,25.0,64.0,50.0,42.0,7.2992700729927,6.131386861313868
1996-97,203,Nate McMillan,37,784.0,61.0,149.0,28.0,84.0,19.0,29.0,15.0,32.0,1499,169.0,33.0,65.0,66.0,84.0,4.402935290193462,5.603735823882588
1996-97,204,Jeff Hornacek,82,2550.0,413.0,855.0,72.0,195.0,293.0,326.0,60.0,134.0,5007,1191.0,341.0,660.0,682.0,216.0,13.620930697024166,4.313960455362492
1996-97,208,Sam Cassell,61,1688.0,337.0,783.0,81.0,231.0,212.0,251.0,47.0,168.0,3377,967.0,256.0,552.0,512.0,243.0,15.161385845424933,7.1957358602309744
1996-97,209,Dell Curry,68,2052.0,384.0,836.0,126.0,296.0,114.0,142.0,40.0,93.0,3892,1008.0,258.0,540.0,516.0,378.0,13.257965056526208,9.712230215827338
1996-97,210,Terrell Brandon,78,2827.0,575.0,1313.0,101.0,271.0,268.0,297.0,48.0,178.0,5086,1519.0,474.0,1042.0,948.0,303.0,18.639402280770742,5.9575304758159655
1996-97,211,Eric Mobley,28,290.0,28.0,63.0,0.0,0.0,16.0,30.0,30.0,29.0,588,72.0,28.0,63.0,56.0,0.0,9.523809523809524,0.0
1996-97,212,Yinka Dare,41,297.0,19.0,54.0,0.0,0.0,19.0,37.0,35.0,21.0,647,57.0,19.0,54.0,38.0,0.0,5.873261205564142,0.0
1996-97,213,Antonio Davis,82,2294.0,309.0,642.0,1.0,14.0,241.0,362.0,190.0,141.0,4434,860.0,308.0,628.0,616.0,3.0,13.892647722147045,0.06765899864682003
1996-97,216,Brian Shaw,77,1832.0,189.0,516.0,63.0,194.0,111.0,140.0,47.0,170.0,3538,552.0,126.0,322.0,252.0,189.0,7.122668174109667,5.34200113058225
1996-97,219,Vinny Del Negro,72,2210.0,365.0,781.0,44.0,140.0,112.0,129.0,39.0,92.0,4168,886.0,321.0,641.0,642.0,132.0,15.403071017274472,3.166986564299424
1996-97,221,Clar. Weatherspoon,82,2911.0,398.0,811.0,1.0,6.0,206.0,279.0,219.0,137.0,5946,1003.0,397.0,805.0,794.0,3.0,13.353514968045745,0.050454086781029264
1996-97,224,Eddie Jones,80,2957.0,473.0,1081.0,152.0,389.0,276.0,337.0,90.0,169.0,5816,1374.0,321.0,692.0,642.0,456.0,11.038514442916094,7.8404401650618984
1996-97,226,Antonio Lang,64,808.0,68.0,162.0,0.0,6.0,35.0,48.0,52.0,50.0,1549,171.0,68.0,156.0,136.0,0.0,8.779857972885733,0.0
1996-97,228,Adam Keefe,62,891.0,82.0,160.0,0.0,1.0,71.0,103.0,75.0,45.0,1766,235.0,82.0,159.0,164.0,0.0,9.28652321630804,0.0
1996-97,234,Khalid Reeves,63,1402.0,184.0,470.0,83.0,227.0,65.0,87.0,34.0,108.0,2754,516.0,101.0,243.0,202.0,249.0,7.334785766158316,9.041394335511981
1996-97,236,Kevin Edwards,32,459.0,69.0,183.0,15.0,43.0,37.0,43.0,9.0,49.0,982,190.0,54.0,140.0,108.0,45.0,10.9979633401222,4.582484725050916
1996-97,238,Tyrone Hill,74,2542.0,357.0,595.0,0.0,1.0,241.0,381.0,259.0,147.0,4506,955.0,357.0,594.0,714.0,0.0,15.84553928095872,0.0
1996-97,239,Darrick Martin,82,1781.0,292.0,718.0,91.0,234.0,218.0,250.0,26.0,127.0,3576,893.0,201.0,484.0,402.0,273.0,11.241610738255034,7.634228187919463
1996-97,240,Brooks Thompson,67,1023.0,162.0,406.0,97.0,244.0,24.0,38.0,18.0,87.0,2113,445.0,65.0,162.0,130.0,291.0,6.1523899668717466,13.771888310459063
1996-97,241,Darrin Hancock,24,125.0,16.0,35.0,0.0,0.0,10.0,14.0,4.0,11.0,305,42.0,16.0,35.0,32.0,0.0,10.491803278688524,0.0
1996-97,243,Aaron McKie,83,1580.0,150.0,365.0,41.0,103.0,92.0,110.0,40.0,90.0,3084,433.0,109.0,262.0,218.0,123.0,7.068741893644617,3.988326848249027
1996-97,244,Dee Brown,21,511.0,61.0,166.0,20.0,65.0,18.0,22.0,8.0,24.0,1076,160.0,41.0,101.0,82.0,60.0,7.6208178438661704,5.5762081784386615
1996-97,246,Greg Anderson,82,1620.0,130.0,262.0,0.0,1.0,62.0,93.0,157.0,73.0,3070,322.0,130.0,261.0,260.0,0.0,8.469055374592834,0.0
1996-97,247,Joe Dumars,79,2881.0,385.0,875.0,166.0,384.0,223.0,258.0,38.0,128.0,5221,1159.0,219.0,491.0,438.0,498.0,8.389197471748707,9.538402604864968
1996-97,248,George Lynch,41,1038.0,137.0,291.0,8.0,31.0,60.0,97.0,98.0,64.0,1996,342.0,129.0,260.0,258.0,24.0,12.925851703406813,1.2024048096192386
1996-97,251,Sean Elliott,39,1375.0,196.0,464.0,42.0,126.0,148.0,196.0,48.0,89.0,2538,582.0,154.0,338.0,308.0,126.0,12.135539795114262,4.964539007092199
1996-97,252,Karl Malone,82,2957.0,864.0,1571.0,0.0,13.0,521.0,690.0,193.0,233.0,5772,2249.0,864.0,1558.0,1728.0,0.0,29.93762993762994,0.0
1996-97,255,Grant Hill,80,3106.0,625.0,1259.0,10.0,33.0,450.0,633.0,123.0,259.0,5633,1710.0,615.0,1226.0,1230.0,30.0,21.835611574649388,0.5325758920646192
1996-97,258,Brian Grant,24,599.0,91.0,207.0,0.0,0.0,70.0,90.0,49.0,44.0,1202,252.0,91.0,207.0,182.0,0.0,15.141430948419302,0.0
