ENTITY,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,N_ATTEMPTS,N_MADE,TYPICAL_VALUE,FG_PCT,EV,RISK_VAR,LOW_SAMPLE,EFF_FULL,EFF_NONRA
League Average,Above the Break 3,Back Court(BC),32,3,3,0.09375,0.28125,0.7646484375,False,,
League Average,Above the Break 3,Center(C),15734,5617,3,0.3569975848480997,1.0708656412863862,2.0655894756556297,False,False,True
League Average,Above the Break 3,Left Side Center(LC),24930,8949,3,0.35896510228640194,1.0768953068592058,2.0709824186422345,False,False,True
League Average,Above the Break 3,Right Side Center(RC),23074,8370,3,0.3627459478200572,1.088194504637254,2.0803295563432083,False,False,True
League Average,Backcourt,Back Court(BC),433,8,3,0.018475750577367205,0.05542725173210162,0.16320957496173108,False,,
League Average,In The Paint (Non-RA),Center(C),38277,16872,2,0.44078689552472766,0.8815737910494553,0.9859752330336019,False,False,True
League Average,In The Paint (Non-RA),Left Side(L),2262,1012,2,0.4473916887709991,0.8947833775419982,0.9889294623585303,False,False,True
League Average,In The Paint (Non-RA),Right Side(R),2549,1098,2,0.430757159670459,0.861514319340918,0.9808217162523908,False,False,True
League Average,Left Corner 3,Left Side(L),11523,4448,3,0.38601058752061096,1.1580317625618328,2.1330577245834332,False,False,True
League Average,Mid-Range,Center(C),5471,2410,2,0.44050447815755805,0.8810089563151161,0.9858411315227821,False,False,True
League Average,Mid-Range,Left Side Center(LC),3125,1261,2,0.40352,0.80704,0.9627664384,False,False,True
League Average,Mid-Range,Left Side(L),6169,2562,2,0.415302318041822,0.8309288377370725,0.972387547051348,False,False,True
League Average,Mid-Range,Right Side Center(RC),3491,1365,2,0.3910054425665998,0.7820108851331996,0.9524807457995889,False,False,True
League Average,Mid-Range,Right Side(R),6333,2695,2,0.4255487130901626,0.8510974261803252,0.9778280235098763,False,False,True
League Average,Restricted Area,Center(C),64669,42884,2,0.663130711778441,1.326261423556882,0.893553483498637,False,True,
League Average,Right Corner 3,Right Side(R),10628,4185,3,0.3937711704930373,1.1813135114791118,2.1484389220342255,False,False,True
LeBron James,Above the Break 3,Center(C),91,34,3,0.37362637362637363,1.120879120879121,2.1062673590146117,False,False,True
LeBron James,Above the Break 3,Left Side Center(LC),148,65,3,0.4391891891891892,1.3175675675675675,2.216718407596786,False,False,False
LeBron James,Above the Break 3,Right Side Center(RC),79,30,3,0.379746835443038,1.139240506329114,2.1198525877263257,False,False,True
LeBron James,Backcourt,Back Court(BC),1,0,3,0.0,0.0,0.0,True,,
LeBron James,In The Paint (Non-RA),Center(C),177,75,2,0.423728813559322,0.847457627118644,0.9767308244757253,False,False,True
LeBron James,In The Paint (Non-RA),Left Side(L),13,4,2,0.3076923076923077,0.6153846153846154,0.8520710059171598,True,False,True
LeBron James,In The Paint (Non-RA),Right Side(R),4,2,2,0.5,1.0,1.0,True,False,True
LeBron James,Left Corner 3,Left Side(L),21,7,3,0.3333333333333333,1.0,2.0,False,False,False
